name,zone_no,ward,place_type,lat,lon
All India Radio Housing Board,1,3,neighbourhood,13.187209,80.312303
Anna Nagar,1,2,locality,13.207371,80.315029
Bharathiyar Nagar,1,5,neighbourhood,13.185809,80.315551
Ennore,1,1,suburb,13.225826,80.324355
Ernavur,1,3,suburb,13.189355,80.311138
Ernavur Gate,1,5,locality,13.184926,80.312643
Kaladipet,1,12,neighbourhood,13.151597,80.298777
Kargil Nagar,1,6,suburb,13.173019,80.292241
Kathivakkam,1,2,town,13.214181,80.31875
Nehru Nagar,1,2,neighbourhood,13.215933,80.318729
Sivakami Nagar,1,3,neighbourhood,13.197653,80.317299
Thazhankuppam,1,1,suburb,13.227136,80.328155
Tiruvottiyur,1,11,town,13.156567,80.300651
Ariyalur,2,17,hamlet,13.191872,80.250742
Chettimedu,2,17,hamlet,13.18339,80.22881
Chinna Echankuzhi,2,15,hamlet,13.223057,80.272146
Dwaraka Nagar,2,16,suburb,13.19413,80.274275
Dwaraka Nagar Phase I,2,16,locality,13.194938,80.272449
Dwaraka Nagar Phase II,2,16,locality,13.194604,80.278758
Edayanchavadi,2,15,suburb,13.21698,80.285017
Kadapakkam,2,16,suburb,13.198491,80.265252
Kanniyampettai,2,16,hamlet,13.192708,80.2557
Kosappur,2,17,suburb,13.18183,80.235098
Manali,2,18,town,13.18106,80.269419
Mathur,2,19,suburb,13.167864,80.243692
Mathur MMDA Colony,2,19,locality,13.170512,80.248069
Nappalayam,2,15,hamlet,13.220033,80.272378
Saidayankuppam,2,16,suburb,13.185479,80.292431
Theyampakkam,2,17,hamlet,13.195058,80.23226
Vadaperumbakkam,2,17,suburb,13.175401,80.218332
Assisi Nagar,3,27,locality,13.16461,80.233
Kathirvedu,3,25,suburb,13.149309,80.200991
Kavankarai,3,22,suburb,13.168667,80.197014
Lakshmipuram,3,24,suburb,13.134833,80.198947
Madanankuppam,3,24,locality,13.136075,80.190008
Madhavaram,3,31,town,13.142147,80.232379
Madhavaram Milk Colony,3,28,suburb,13.155408,80.242525
Manjampakkam,3,27,suburb,13.159591,80.224704
Ponniammanmedu,3,33,neighbourhood,13.134332,80.228224
Puzhal,3,23,suburb,13.159114,80.203115
Shanmugapuram,3,24,neighbourhood,13.141259,80.180872
Shastri Nagar,3,26,neighbourhood,13.134565,80.219687
Surapet,3,24,suburb,13.144194,80.187217
Basin Bridge,4,46,neighbourhood,13.108047,80.269908
Cherian Nagar,4,39,neighbourhood,13.138415,80.297156
Ezhil Nagar,4,41,locality,13.128721,80.272484
Jeeva Nagar,4,39,locality,13.139297,80.291589
Kannadasan Nagar,4,37,locality,13.129767,80.261954
Kodungaiyur,4,36,suburb,13.130819,80.256182
Korukkupet,4,42,suburb,13.121534,80.283791
MKB Nagar,4,37,locality,13.122533,80.263137
Moolakadai,4,35,locality,13.129168,80.241699
Muthamizh Nagar,4,35,locality,13.133472,80.249571
New Washermanpet,4,40,suburb,13.133866,80.290359
Parvathi Nagar,4,34,locality,13.145756,80.249642
Rajarathinam Colony,4,37,locality,13.128559,80.267649
Sharma Nagar,4,36,locality,13.122985,80.253303
Tollgate,4,39,neighbourhood,13.142953,80.295574
Tondiarpet,4,40,suburb,13.127767,80.289585
Vyasarpadi,4,45,suburb,13.113047,80.258722
Washermanpet,4,48,suburb,13.11363,80.281481
Chintadripet,5,62,suburb,13.076126,80.270781
Doveton,5,58,neighbourhood,13.087322,80.258079
Egmore,5,61,suburb,13.072832,80.257691
Esplanade,5,57,locality,13.089135,80.285188
Evening Bazaar,5,59,neighbourhood,13.084932,80.27872
Flower Bazaar,5,57,neighbourhood,13.089344,80.28197
George Town,5,57,suburb,13.092092,80.282243
Government Estate,5,59,neighbourhood,13.067361,80.276799
Grace Garden,5,49,neighbourhood,13.11809,80.291473
Island Grounds,5,60,suburb,13.0742,80.279362
Kondithope,5,54,locality,13.10004,80.279084
Mahaveer Colony,5,58,neighbourhood,13.082917,80.261558
Mannady,5,60,locality,13.095944,80.287101
Moolakothalam,5,53,neighbourhood,13.106734,80.276481
Old Washermanpet,5,49,neighbourhood,13.112276,80.289381
Park Town,5,58,suburb,13.086349,80.272732
Periamet,5,58,neighbourhood,13.084414,80.269277
Pudupet,5,63,neighbourhood,13.071202,80.26696
Royapuram,5,50,suburb,13.114619,80.294028
Seven Wells,5,55,locality,13.100569,80.282115
Sowcarpet,5,59,neighbourhood,13.088497,80.278309
Stanley Nagar,5,53,neighbourhood,13.109268,80.272188
Vallalar Nagar,5,54,suburb,13.101926,80.278777
Vepery,5,58,suburb,13.084295,80.262274
Agaram,6,66,neighbourhood,13.115848,80.229582
Choolai,6,78,suburb,13.090628,80.262142
Ekangipuram,6,71,locality,13.104352,80.244348
Gandhinagar,6,73,neighbourhood,13.099903,80.266175
GKM Colony,6,67,locality,13.111915,80.220702
Jamalaya Nagar,6,70,locality,13.106081,80.248707
Jayaram Nagar,6,64,neighbourhood,13.120464,80.210753
Kannigapuram,6,72,neighbourhood,13.107125,80.263442
Kolathur,6,64,suburb,13.123655,80.212885
Kosapet,6,78,locality,13.093935,80.254791
Kumaran Nagar,6,65,neighbourhood,13.128209,80.202394
Mahatma Gandhi Nagar,6,64,neighbourhood,13.126863,80.211211
Mettupalayam,6,70,locality,13.107554,80.254024
Narasimha Nagar,6,72,neighbourhood,13.104776,80.266189
Otteri,6,74,suburb,13.096958,80.248722
Perambur,6,70,suburb,13.112124,80.245022
Periyar Nagar,6,66,neighbourhood,13.115742,80.224927
Poompuhar Nagar,6,75,locality,13.093725,80.252797
Pulianthope,6,73,suburb,13.100843,80.262625
Purasawalkam,6,78,suburb,13.089327,80.255033
Rajaji Nagar,6,65,locality,13.111516,80.211606
Rajan Nagar,6,64,neighbourhood,13.123894,80.208041
Secretariat Colony,6,74,neighbourhood,13.08945,80.24282
Sembiyam,6,68,locality,13.122013,80.241216
Senthil Nagar,6,65,neighbourhood,13.12164,80.202656
Sundarapuram,6,77,neighbourhood,13.096959,80.266632
Thiru Vi Ka Nagar,6,66,suburb,13.120899,80.22951
Venkatesapuram,6,72,neighbourhood,13.10851,80.264024
VOC Nagar,6,72,neighbourhood,13.105469,80.262158
Ambattur,7,85,town,13.105565,80.163959
